threshold,n_retained,coverage,accuracy,n_correct
0.581873987990704,203,0.7073170731707317,0.8029556650246306,163
0.5783570244968317,204,0.710801393728223,0.7990196078431373,163
0.5766383544262638,205,0.7142857142857143,0.7951219512195122,163
0.5764914093936404,206,0.7177700348432056,0.7912621359223301,163
0.5750958985206576,207,0.7212543554006968,0.7922705314009661,164
0.5750814761704142,208,0.7247386759581882,0.7884615384615384,164
0.5675119312866335,209,0.7282229965156795,0.784688995215311,164
0.5630828171531557,210,0.7317073170731707,0.7857142857142857,165
0.5602945958928436,211,0.735191637630662,0.7867298578199052,166
0.5601137727038217,212,0.7386759581881533,0.7830188679245284,166
0.556006796641964,213,0.7421602787456446,0.784037558685446,167
0.5526064118373509,214,0.7456445993031359,0.780373831775701,167
0.55227025866639,215,0.7491289198606271,0.7813953488372093,168
0.551356825575399,216,0.7526132404181185,0.7777777777777778,168
0.5454296249288453,217,0.7560975609756098,0.7788018433179723,169
0.5441880317727619,218,0.759581881533101,0.7798165137614679,170
0.5440741472679347,219,0.7630662020905923,0.7808219178082192,171
0.5436467233513576,220,0.7665505226480837,0.7818181818181819,172
0.5434231773510678,221,0.7700348432055749,0.7782805429864253,172
0.5427700515788974,222,0.7735191637630662,0.7792792792792793,173
0.5409206284270107,223,0.7770034843205574,0.7802690582959642,174
0.5405195034683754,224,0.7804878048780488,0.7767857142857143,174
0.5395840166652717,225,0.7839721254355401,0.7777777777777778,175
0.5308071929920524,226,0.7874564459930313,0.7787610619469026,176
0.5251047690059032,227,0.7909407665505227,0.7797356828193832,177
0.524901211493696,228,0.794425087108014,0.7807017543859649,178
0.5216034285401051,229,0.7979094076655052,0.7816593886462883,179
0.5214229825137797,230,0.8013937282229965,0.782608695652174,180
0.5208844365118623,231,0.8048780487804879,0.7835497835497836,181
0.52045487906101,232,0.8083623693379791,0.7844827586206896,182
0.5174731294265045,233,0.8118466898954704,0.7854077253218884,183
0.512730579615399,234,0.8153310104529616,0.7863247863247863,184
0.5097015601824341,235,0.818815331010453,0.7872340425531915,185
0.5017159111927819,236,0.8222996515679443,0.788135593220339,186
0.5002549047183997,237,0.8257839721254355,0.7848101265822784,186
0.4964990558719936,238,0.8292682926829268,0.7857142857142857,187
0.4959059104560054,239,0.8327526132404182,0.7824267782426778,187
0.4943895028134079,240,0.8362369337979094,0.7791666666666667,187
0.49072139389818,241,0.8397212543554007,0.7759336099585062,187
0.48934919438682917,242,0.8432055749128919,0.7768595041322314,188
0.4843581440316614,243,0.8466898954703833,0.7736625514403292,188
0.4834333791943413,244,0.8501742160278746,0.7745901639344263,189
0.481422767315701,245,0.8536585365853658,0.7714285714285715,189
0.4768364881933201,246,0.8571428571428571,0.7682926829268293,189
0.4750226995991329,247,0.8606271777003485,0.7692307692307693,190
0.4692276716189521,248,0.8641114982578397,0.7701612903225806,191
0.46605217378480035,249,0.867595818815331,0.7710843373493976,192
0.4646636009063738,250,0.8710801393728222,0.772,193
0.46069809200008593,251,0.8745644599303136,0.7729083665338645,194
0.45991990234361113,252,0.8780487804878049,0.7738095238095238,195
0.4436070128262516,253,0.8815331010452961,0.7707509881422925,195
0.43808443919530127,254,0.8850174216027874,0.7716535433070866,196
0.4291594775758927,255,0.8885017421602788,0.7686274509803922,196
0.4270639220201293,256,0.89198606271777,0.765625,196
0.42679447488360256,257,0.8954703832752613,0.7665369649805448,197
0.42646552678211014,258,0.8989547038327527,0.7635658914728682,197
0.4260563384109993,259,0.9024390243902439,0.7644787644787645,198
0.4243096873691887,260,0.9059233449477352,0.7615384615384615,198
0.4211995126245811,261,0.9094076655052264,0.7624521072796935,199
0.4207791519718769,262,0.9128919860627178,0.7633587786259542,200
0.4085145125278084,263,0.9163763066202091,0.7642585551330798,201
0.40576192953441215,264,0.9198606271777003,0.7651515151515151,202
0.3927897003045058,265,0.9233449477351916,0.7622641509433963,202
0.3902701845405235,266,0.926829268292683,0.7593984962406015,202
0.3888443884876319,267,0.9303135888501742,0.7565543071161048,202
0.38629262175038315,268,0.9337979094076655,0.7574626865671642,203
0.38536751408884284,269,0.9372822299651568,0.7546468401486989,203
0.37841655029484833,270,0.9407665505226481,0.7518518518518519,203
0.3762695277043986,271,0.9442508710801394,0.7527675276752768,204
0.3662793437881745,272,0.9477351916376306,0.7536764705882353,205
0.3661016324840886,273,0.9512195121951219,0.7509157509157509,205
0.3616878281007224,274,0.9547038327526133,0.7518248175182481,206
0.34432999204559794,275,0.9581881533101045,0.7490909090909091,206
0.3290055605026398,276,0.9616724738675958,0.75,207
0.31772363809683457,277,0.9651567944250871,0.7509025270758123,208
0.3101290413729117,278,0.9686411149825784,0.7482014388489209,208
0.30815521568601834,279,0.9721254355400697,0.7455197132616488,208
0.30572359474392813,280,0.975609756097561,0.7428571428571429,208
0.2978131153836153,281,0.9790940766550522,0.7402135231316725,208
0.29673812680987555,282,0.9825783972125436,0.7411347517730497,209
0.2911964950549176,283,0.9860627177700348,0.7385159010600707,209
0.2711724260145103,284,0.9895470383275261,0.7394366197183099,210
0.25821323511045635,285,0.9930313588850174,0.7368421052631579,210
0.2491168881289711,286,0.9965156794425087,0.7342657342657343,210
0.233841166385423,287,1.0,0.735191637630662,211
